TAIR Accession,Locus,Gene Type,Description,Other Name(Type),manual_classification,Keywords
Locus:2152506,AT5G48580,protein_coding,Endoplasmic reticulum (ER) localized immunophilin protein which possesses PPIase activity. Positively regulates plant immunity in response to Phytophthora infection.  Host target of PcAvr3a12 during early P. capsici infection. Involved in ER stress sensing and is required for ER stress-mediated plant immunity.,FK506- AND RAPAMYCIN-BINDING PROTEIN 15 KD-2;FKBP15-2,FKBP,"response to endoplasmic reticulum stress;response to fungus;chaperone-mediated protein folding;endoplasmic reticulum cisternal network;haustorium;endoplasmic reticulum;Golgi apparatus;chloroplast;endoplasmic reticulum;plant-type vacuole;plastid;peptidyl-prolyl cis-trans isomerase activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;fruit;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2090235,AT3G25220,protein_coding,immunophilin (FKBP15-1),FK506-BINDING PROTEIN 15 KD-1;FKBP15-1,FKBP,"chaperone-mediated protein folding;endoplasmic reticulum;chloroplast;cytosol;endoplasmic reticulum;secretory vesicle;peptidyl-prolyl cis-trans isomerase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2093054,AT3G21730,protein_coding,Dihydroneopterin aldolase;(source:Araport11),FOLB3,FOLB3,"tetrahydrofolate biosynthetic process;cytoplasm;mitochondrion;dihydroneopterin aldolase activity,"
Locus:2157230,AT5G39190,protein_coding,germin-like protein (GLP2a),A. THALIANA GERMIN LIKE PROTEIN 2;ATGER2;GER2;GERMIN-LIKE PROTEIN 2;GERMIN-LIKE PROTEIN 2A;GLP2A,GER,"biological_process;extracellular matrix;extracellular region;manganese ion binding;oxalate oxidase activity;fruit;guard cell;stem,"
Locus:2058949,AT2G05520,protein_coding,Encodes a glycine-rich protein that is expressed mainly in stems and leaves.  AtGRP3 functions in root size determination during development and in Al stress. mRNA levels are upregulated in response to ABA; salicylic acid and ethylene but downregulated in response to desiccation. The mRNA is cell-to-cell mobile.,ARABIDOPSIS GLYCINE RICH PROTEIN 3;ATGRP-3;ATGRP3;GLYCINE-RICH PROTEIN 3;GRP-3;GRP3,GRP,"regulation of cell size;response to abscisic acid;response to aluminum ion;response to desiccation;response to ethylene;response to salicylic acid;root development;unidimensional cell growth;extracellular region;mitochondrion;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2092394,AT3G20470,protein_coding,encodes a glycine-rich protein that is expressed more abundantly in immature seed pods than in stems and leaves. Expression is not detected in roots or flowers.,ATGRP-5;ATGRP5;GLYCINE-RICH PROTEIN 5;GRP-5;GRP5,GRP,"response to abscisic acid;response to salicylic acid;positive regulation of cell growth;positive regulation of organ growth;response to abscisic acid;response to flooding;plant-type cell wall;plant-type vacuole;structural constituent of cell wall;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;fruit;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2046447,AT2G32690,protein_coding,"Glycine-rich protein similar in structure to GRP5. The expression of GRP23 is induced by HPA (cutin monomer; salicylic acid, and abscisic acid.",ATGRP23;GLYCINE-RICH PROTEIN 23;GRP23,GRP,"response to abscisic acid;response to salicylic acid;cellular_component;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2042803,AT2G05380,protein_coding,glycine-rich protein 3 short isoform (GRP3S) mRNA; completeThe mRNA is cell-to-cell mobile.,GLYCINE-RICH PROTEIN 3 SHORT ISOFORM;GRP3S,GRP,"extracellular region;mitochondrion;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;petal;plant embryo;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2031452,AT1G77370,protein_coding,Oxidoreductase; type II membrane protein along the early secretory pathway with their enzymatic function on the luminal side. Better activity for oxidized roGFP2 as a substrate.,GRXC3,GRXC,"cellular response to oxidative stress;cytoplasm;Golgi apparatus;Golgi cis cisterna;endoplasmic reticulum membrane;extracellular region;glutathione disulfide oxidoreductase activity;oxidoreductase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2149942,AT5G20500,protein_coding,Oxidoreductase; type II membrane protein along the early secretory pathway with their enzymatic function on the luminal side. Better activity for oxidized roGFP2 as a substrate.,GRXC4,GRXC,"cellular response to oxidative stress;cytoplasm;Golgi apparatus;chloroplast;endoplasmic reticulum;endoplasmic reticulum membrane;plastid;secretory vesicle;vacuole;glutathione disulfide oxidoreductase activity;oxidoreductase activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2016079,AT1G71950,protein_coding,SPI-1 is a member of the I9 inhibitor family. It is an inhibitor of SBT4.13 subtilase.,SPI-1;SUBTILISIN PROPEPTIDE-LIKE INHIBITOR 1,I9,"extracellular region;mitochondrion;plasma membrane;secretory vesicle;endopeptidase inhibitor activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2079547,AT3G61980,protein_coding,Encodes a Kazal-type serine proteinase inhibitor that is highly expressed in seedlings and flowers.,ATKPI-1;KAZAL-TYPE PROTEINASE INHIBITOR 1;KPI-1,KPI,"defense response to fungus;membrane;serine-type endopeptidase inhibitor activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2831620,AT4G01575,protein_coding,Encodes a putative Kazal-type serine proteinase inhibitor that is highly expressed in seeds; mature roots and flowers.,ATKPI-2;KAZAL-TYPE PROTEINASE INHIBITOR 2;KPI-2,KPI,"chloroplast;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2030923,AT1G17860,protein_coding,Member of Kunitz trypsin inhibitor (KTI) family involved in plant defense response against spider mites.,ARABIDOPSIS THALIANA KUNITZ TRYPSIN INHIBITOR 5;ATKTI5,KTI,"response to insect;negative regulation of peptidase activity;endoplasmic reticulum;apoplast;endoplasmic reticulum;extracellular region;plant-type cell wall;secretory vesicle;peptidase inhibitor activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;leaf apex;petal;petiole;plant embryo;root;rosette leaf;seed;sepal;shoot apex;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2161780,AT5G56170,protein_coding,LORELEI-LIKE-GPI-ANCHORED PROTEIN 1;(source:Araport11),LLG1;LORELEI-LIKE-GPI-ANCHORED PROTEIN 1,LLG,"positive regulation of growth;membrane;plasma membrane;plastid;pollen tube;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;gynoecium;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant ovary;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;whole plant;cell-to-cell mobile RNA,"
Locus:2051389,AT2G20700,protein_coding,LLG2/3 are involved in regulation of pollen tube growth by trafficking of ANX/BUPS to the apical PM of pollen tubes. In the PM they function as co-receptors  with ANX/BUPS to regulate ROS production.,LLG2;LORELEI-LIKE-GPI ANCHORED PROTEIN 2,LLG,"negative regulation of reactive oxygen species biosynthetic process;protein localization to plasma membrane;regulation of pollen tube growth;membrane;plasma membrane;pollen tube;protein binding;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;collective leaf structure;flower;flower pedicel;guard cell;gynoecium;leaf apex;petal;plant embryo;plant ovary;pollen;pollen tube cell;sepal;stamen;vascular leaf;whole plant,"
Locus:2123673,AT4G28280,protein_coding,LORELEI-LIKE-GPI ANCHORED PROTEIN 3;(source:Araport11),LLG3;LORELEI-LIKE-GPI ANCHORED PROTEIN 3,LLG,"positive regulation of reactive oxygen species biosynthetic process;protein localization to plasma membrane;regulation of pollen tube growth;membrane;plasma membrane;pollen tube;protein binding;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;seedling development stage;collective leaf structure;flower;guard cell;gynoecium;petal;plant ovary;pollen;pollen tube cell;sepal;stamen;whole plant,"
Locus:4515103457,AT4G26466,protein_coding,Encodes a membrane localized (putative GPI-anchored) protein involved in fertilization. Loss of function mutations display defects in fertilization-around 25% of embryo sacs abort.,LORELEI;LRE,LRE,"double fertilization forming a zygote and endosperm;pollen tube guidance;pollen tube reception;synergid death;plasma membrane;protein binding;plant ovule;synergid,"
Locus:2089673,AT3G18280,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),ATTED4;TED4;TRACHEARY ELEMENT DIFFERENTIATION-RELATED 4,LTP,"lipid transport;extracellular region;mitochondrion;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2043750,AT2G13820,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),AtXYP2;GLYCOSYLPHOSPHATIDYLINOSITOL-ANCHORED LIPID PROTEIN TRANSFER 11;LPTG11;XYP2;xylogen protein 2,LTP,"lipid transport;xylem development;extracellular region;plasma membrane;lipid binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;lateral root primordium;leaf apex;leaf lamina base;leaf vascular system;petal;petiole;plant embryo;receptacle;root;root vascular system;seed;sepal;shoot apex;shoot system;stamen;vascular leaf,"
Locus:1006230047,AT2G14846,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function,"
Locus:1005716747,AT1G43667,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function,"
Locus:1006230744,AT1G43666,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function,"
Locus:504956233,AT1G43665,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;cellular_component;molecular_function,"
Locus:2027849,AT1G73780,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function;root,"
Locus:2008139,AT1G48750,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2033339,AT1G66850,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;carpel;cauline leaf;collective leaf structure;flower;petal;seed;sepal;stamen,"
Locus:2173882,AT5G55410,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"systemic acquired resistance;extracellular region;fatty acid binding,"
Locus:505006663,AT5G38195,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function;primary root,"
Locus:2176722,AT5G38180,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function,"
Locus:2082623,AT3G57310,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;cellular_component;molecular_function,"
Locus:2176712,AT5G38170,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function;endosperm;plant sperm cell,"
Locus:2176702,AT5G38160,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"lipid transport;extracellular region;molecular_function;endosperm;pollen tube cell,"
Locus:2145106,AT5G52160,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"biological_process;extracellular region;molecular_function;petal differentiation and expansion stage;collective leaf structure;flower;sepal,"
Locus:504955467,AT4G00165,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"biological_process;extracellular region;molecular_function;guard cell,"
Locus:2134173,AT4G33550,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"extracellular region;molecular_function;LP.04 four leaves visible stage;LP.08 eight leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;vascular leaf senescent stage;carpel;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;leaf lamina base;plant embryo;root;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2126744,AT4G30880,protein_coding,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),N/A,LTP,"biological_process;extracellular region;molecular_function,"
Locus:2138892,AT4G04800,protein_coding,methionine sulfoxide reductase B3;(source:Araport11),ATMSRB3;MSRB3;methionine sulfoxide reductase B3,MSR,"cellular response to oxidative stress;cold acclimation;cytoplasm;chloroplast;cytosol;endoplasmic reticulum;nucleus;peptide-methionine (R)-S-oxide reductase activity;peptide-methionine (S)-S-oxide reductase activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2044687,AT2G34870,protein_coding,hydroxyproline-rich glycoprotein family protein;(source:Araport11),MEE26;maternal effect embryo arrest 26,no_family,"embryo development ending in seed dormancy;mitochondrion;molecular_function;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;flower;flower pedicel;gynoecium;petal;plant embryo;pollen;sepal;stamen,"
Locus:2060907,AT2G18030,protein_coding,Peptide methionine sulfoxide reductase family protein;(source:Araport11),METHIONINE SULFOXIDE REDUCTASE A5;MSRA5,no_family,"cellular response to oxidative stress;cytoplasm;plasma membrane;L-methionine-(S)-S-oxide reductase activity;peptide-methionine (S)-S-oxide reductase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:505006583,AT5G06265,protein_coding,hyaluronan mediated motility receptor-like protein;(source:Araport11),N/A,no_family,"biological_process;mitochondrion;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2119003,AT4G21620,protein_coding,glycine-rich protein;(source:Araport11),N/A,no_family,"extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2015433,AT1G47540,protein_coding,Scorpion toxin-like knottin superfamily protein;(source:Araport11),N/A,no_family,"extracellular region;sodium channel inhibitor activity,"
Locus:1006230252,AT3G01325,protein_coding,Expressed protein;(source:Araport11),N/A,no_family,"biological_process;mitochondrion;molecular_function,"
Locus:505006576,AT5G01015,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"biological_process;extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2095725,AT3G44280,protein_coding,peptidyl-prolyl cis-trans isomerase G;(source:Araport11),N/A,no_family,"cellular_component;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2098750,AT3G50570,protein_coding,hydroxyproline-rich glycoprotein family protein;(source:Araport11),N/A,no_family,"nucleus;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;carpel;collective leaf structure;flower;guard cell;hypocotyl;leaf apex;leaf lamina base;petal;petiole;sepal;stamen;vascular leaf,"
Locus:2153619,AT5G05960,protein_coding,Involved in adventitious root organogenesis.,N/A,no_family,"systemic acquired resistance;extracellular region;fatty acid binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;root development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;sepal;shoot apex;shoot system;stem;vascular leaf,"
