Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	TAIR
A0A7G2DY53	unreviewed	A0A7G2DY53_ARATH	Auxin response factor	AT9943_LOCUS2906	Arabidopsis thaliana (Mouse-ear cress)	541	
A0A7G2DYM9	unreviewed	A0A7G2DYM9_ARATH	Auxin response factor	AT9943_LOCUS2972	Arabidopsis thaliana (Mouse-ear cress)	582	
A0A7G2E0L1	unreviewed	A0A7G2E0L1_ARATH	Auxin-responsive protein	AT9943_LOCUS3750	Arabidopsis thaliana (Mouse-ear cress)	189	
A0A7G2E166	unreviewed	A0A7G2E166_ARATH	Auxin response factor	AT9943_LOCUS2904	Arabidopsis thaliana (Mouse-ear cress)	579	
A0A7G2E1P3	unreviewed	A0A7G2E1P3_ARATH	Auxin response factor	AT9943_LOCUS2974	Arabidopsis thaliana (Mouse-ear cress)	698	
A0A7G2E1X0	unreviewed	A0A7G2E1X0_ARATH	Auxin response factor	AT9943_LOCUS3159	Arabidopsis thaliana (Mouse-ear cress)	342	
A0A7G2E1X2	unreviewed	A0A7G2E1X2_ARATH	Auxin response factor	AT9943_LOCUS4199	Arabidopsis thaliana (Mouse-ear cress)	665	
A0A7G2E3R5	unreviewed	A0A7G2E3R5_ARATH	Auxin response factor	AT9943_LOCUS5778	Arabidopsis thaliana (Mouse-ear cress)	585	
A0A7G2E4C3	unreviewed	A0A7G2E4C3_ARATH	Auxin efflux carrier component	AT9943_LOCUS5397	Arabidopsis thaliana (Mouse-ear cress)	613	
A0A7G2E508	unreviewed	A0A7G2E508_ARATH	Auxin response factor	AT9943_LOCUS4199	Arabidopsis thaliana (Mouse-ear cress)	662	
A0A7G2E530	unreviewed	A0A7G2E530_ARATH	Auxin efflux carrier component	AT9943_LOCUS5711	Arabidopsis thaliana (Mouse-ear cress)	560	
A0A7G2E6T1	unreviewed	A0A7G2E6T1_ARATH	Auxin efflux carrier component	AT9943_LOCUS5711	Arabidopsis thaliana (Mouse-ear cress)	558	
A0A7G2EAI7	unreviewed	A0A7G2EAI7_ARATH	Auxin-responsive protein	AT9943_LOCUS6075	Arabidopsis thaliana (Mouse-ear cress)	189	
A0A7G2EE27	unreviewed	A0A7G2EE27_ARATH	Auxin-responsive protein	AT9943_LOCUS8366	Arabidopsis thaliana (Mouse-ear cress)	219	
A0A7G2EEI2	unreviewed	A0A7G2EEI2_ARATH	Auxin response factor	AT9943_LOCUS9621	Arabidopsis thaliana (Mouse-ear cress)	745	
A0A7G2EF51	unreviewed	A0A7G2EF51_ARATH	Auxin-responsive protein	AT9943_LOCUS8366	Arabidopsis thaliana (Mouse-ear cress)	220	
A0A7G2EH18	unreviewed	A0A7G2EH18_ARATH	Auxin response factor	AT9943_LOCUS8426	Arabidopsis thaliana (Mouse-ear cress)	604	
A0A7G2EIP7	unreviewed	A0A7G2EIP7_ARATH	Auxin-responsive protein	AT9943_LOCUS9661	Arabidopsis thaliana (Mouse-ear cress)	180	
A0A7G2EJ17	unreviewed	A0A7G2EJ17_ARATH	Auxin-responsive protein	AT9943_LOCUS11312	Arabidopsis thaliana (Mouse-ear cress)	319	
A0A7G2EQI1	unreviewed	A0A7G2EQI1_ARATH	Auxin-responsive protein	AT9943_LOCUS11135	Arabidopsis thaliana (Mouse-ear cress)	197	
A0A7G2ETF3	unreviewed	A0A7G2ETF3_ARATH	Auxin-responsive protein	AT9943_LOCUS14274	Arabidopsis thaliana (Mouse-ear cress)	107	
A0A7G2EWT7	unreviewed	A0A7G2EWT7_ARATH	Auxin response factor	AT9943_LOCUS14249	Arabidopsis thaliana (Mouse-ear cress)	750	
A0A7G2F068	unreviewed	A0A7G2F068_ARATH	Auxin response factor	AT9943_LOCUS16497	Arabidopsis thaliana (Mouse-ear cress)	628	
A0A7G2F1Q0	unreviewed	A0A7G2F1Q0_ARATH	Auxin response factor	AT9943_LOCUS17091	Arabidopsis thaliana (Mouse-ear cress)	663	
A0A7G2F942	unreviewed	A0A7G2F942_ARATH	Auxin response factor	AT9943_LOCUS19692	Arabidopsis thaliana (Mouse-ear cress)	1166	
A0A7G2FMN3	unreviewed	A0A7G2FMN3_ARATH	Auxin response factor	AT9943_LOCUS23386 AT9943_LOCUS23418	Arabidopsis thaliana (Mouse-ear cress)	276	
A0MEH3	unreviewed	A0MEH3_ARATH	Auxin-responsive protein		Arabidopsis thaliana (Mouse-ear cress)	192	
A5YXQ3	unreviewed	A5YXQ3_ARATH	Auxin-responsive protein	AXR2	Arabidopsis thaliana (Mouse-ear cress)	110	
A5YXQ5	unreviewed	A5YXQ5_ARATH	Auxin-responsive protein	AXR2	Arabidopsis thaliana (Mouse-ear cress)	110	
A5YXQ9	unreviewed	A5YXQ9_ARATH	Auxin-responsive protein	AXR2	Arabidopsis thaliana (Mouse-ear cress)	110	
A5YXS5	unreviewed	A5YXS5_ARATH	Auxin-responsive protein	AXR3	Arabidopsis thaliana (Mouse-ear cress)	134	
A5YXT0	unreviewed	A5YXT0_ARATH	Auxin-responsive protein	AXR3	Arabidopsis thaliana (Mouse-ear cress)	134	
A8MR39	unreviewed	A8MR39_ARATH	Auxin-responsive protein	IAA11 At4g28640 T5F17.90 T5F17_90	Arabidopsis thaliana (Mouse-ear cress)	302	AT4G28640;
B0FV08	unreviewed	B0FV08_ARATH	Auxin-responsive protein	IAA3 At1g04240	Arabidopsis thaliana (Mouse-ear cress)	189	AT1G04240;
B0FV14	unreviewed	B0FV14_ARATH	Auxin-responsive protein	IAA3 At1g04240	Arabidopsis thaliana (Mouse-ear cress)	189	
B0FV19	unreviewed	B0FV19_ARATH	Auxin-responsive protein	IAA3 At1g04240	Arabidopsis thaliana (Mouse-ear cress)	189	
B0FV35	unreviewed	B0FV35_ARATH	Auxin-responsive protein	IAA3 At1g04240	Arabidopsis thaliana (Mouse-ear cress)	189	
B0FV54	unreviewed	B0FV54_ARATH	Auxin-responsive protein		Arabidopsis thaliana (Mouse-ear cress)	95	
B0FV68	unreviewed	B0FV68_ARATH	Auxin-responsive protein		Arabidopsis thaliana (Mouse-ear cress)	82	
B2CT96	unreviewed	B2CT96_ARATH	Auxin-responsive protein	ARF8	Arabidopsis thaliana (Mouse-ear cress)	130	
B3H5D3	unreviewed	B3H5D3_ARATH	WUSCHEL related homeobox 11	WOX11 WUSCHEL related homeobox 11 At3g03660 T12J13.6 T12J13_6	Arabidopsis thaliana (Mouse-ear cress)	297	AT3G03660;
B9DGM9	unreviewed	B9DGM9_ARATH	Auxin response factor	At1g59750	Arabidopsis thaliana (Mouse-ear cress)	665	AT1G59750;
C0SUV5	unreviewed	C0SUV5_ARATH	Auxin-responsive protein	IAA34 At1g15050	Arabidopsis thaliana (Mouse-ear cress)	185	AT1G15050;
C0SUZ1	unreviewed	C0SUZ1_ARATH	Auxin response factor	At1g34310	Arabidopsis thaliana (Mouse-ear cress)	593	AT1G34310;
C0SV02	unreviewed	C0SV02_ARATH	Auxin-responsive protein	At1g52830	Arabidopsis thaliana (Mouse-ear cress)	189	AT1G52830;
C0SV66	unreviewed	C0SV66_ARATH	Auxin response factor	At2g28350	Arabidopsis thaliana (Mouse-ear cress)	693	AT2G28350;
C0SVF9	unreviewed	C0SVF9_ARATH	Auxin-responsive protein	IAA30 At3g62100	Arabidopsis thaliana (Mouse-ear cress)	172	AT3G62100;
C0SVU3	unreviewed	C0SVU3_ARATH	Auxin-responsive protein	IAA33 At5g57420	Arabidopsis thaliana (Mouse-ear cress)	171	AT5G57420;
C0SVV4	unreviewed	C0SVV4_ARATH	Auxin-responsive protein	At5g62010	Arabidopsis thaliana (Mouse-ear cress)	454	
C0Z2C7	unreviewed	C0Z2C7_ARATH	Auxin response factor	At4g23980	Arabidopsis thaliana (Mouse-ear cress)	297	
C0Z2L3	unreviewed	C0Z2L3_ARATH	Auxin-responsive protein	IAA14 DL3315C SLR SOLITARY ROOT At4g14550 FCAALL.254	Arabidopsis thaliana (Mouse-ear cress)	183	AT4G14550;
D3K073	unreviewed	D3K073_ARATH	Auxin-responsive protein	ARF11 At2g46530	Arabidopsis thaliana (Mouse-ear cress)	180	
D3K074	unreviewed	D3K074_ARATH	Auxin-responsive protein	ARF11 At2g46530	Arabidopsis thaliana (Mouse-ear cress)	185	
D3K075	unreviewed	D3K075_ARATH	Auxin-responsive protein	ARF11 At2g46530	Arabidopsis thaliana (Mouse-ear cress)	183	
D3K092	unreviewed	D3K092_ARATH	Auxin-responsive protein	ARF18 At3g61830	Arabidopsis thaliana (Mouse-ear cress)	222	
D3K094	unreviewed	D3K094_ARATH	Auxin-responsive protein	ARF18 At3g61830	Arabidopsis thaliana (Mouse-ear cress)	231	
D3K0A2	unreviewed	D3K0A2_ARATH	Auxin-responsive protein	IAA1 At4g14560	Arabidopsis thaliana (Mouse-ear cress)	168	
D3K0A4	unreviewed	D3K0A4_ARATH	Auxin-responsive protein	IAA1 At4g14560	Arabidopsis thaliana (Mouse-ear cress)	168	
D3K0A6	unreviewed	D3K0A6_ARATH	Auxin-responsive protein	IAA1 At4g14560	Arabidopsis thaliana (Mouse-ear cress)	168	
D3K0A7	unreviewed	D3K0A7_ARATH	Auxin-responsive protein	IAA2 At3g23030	Arabidopsis thaliana (Mouse-ear cress)	174	AT3G23030;
D3K0B1	unreviewed	D3K0B1_ARATH	Auxin-responsive protein	IAA2 At3g23030	Arabidopsis thaliana (Mouse-ear cress)	174	
D3K0B5	unreviewed	D3K0B5_ARATH	Auxin-responsive protein	IAA3 At1g04240	Arabidopsis thaliana (Mouse-ear cress)	184	
D3K0B7	unreviewed	D3K0B7_ARATH	Auxin-responsive protein	IAA4 At5g43700	Arabidopsis thaliana (Mouse-ear cress)	186	
D3K0C0	unreviewed	D3K0C0_ARATH	Auxin-responsive protein	IAA4 At5g43700	Arabidopsis thaliana (Mouse-ear cress)	186	
D3K0C1	unreviewed	D3K0C1_ARATH	Auxin-responsive protein	IAA4 At5g43700	Arabidopsis thaliana (Mouse-ear cress)	186	
D3K0C2	unreviewed	D3K0C2_ARATH	Auxin-responsive protein	IAA5 At1g15580	Arabidopsis thaliana (Mouse-ear cress)	163	AT1G15580;
D3K0C6	unreviewed	D3K0C6_ARATH	Auxin-responsive protein	IAA5 At1g15580	Arabidopsis thaliana (Mouse-ear cress)	156	
D3K0C7	unreviewed	D3K0C7_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	171	
D3K0C8	unreviewed	D3K0C8_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	188	
D3K0C9	unreviewed	D3K0C9_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	149	
D3K0D0	unreviewed	D3K0D0_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	154	
D3K0D1	unreviewed	D3K0D1_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	155	
D3K0D2	unreviewed	D3K0D2_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	80	
D3K0D3	unreviewed	D3K0D3_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	81	
D3K0D5	unreviewed	D3K0D5_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	81	
D3K0D6	unreviewed	D3K0D6_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	81	
D3K0D7	unreviewed	D3K0D7_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	221	
D3K0D8	unreviewed	D3K0D8_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	257	
D3K0D9	unreviewed	D3K0D9_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	229	
D3K0E0	unreviewed	D3K0E0_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	224	
D3K0E1	unreviewed	D3K0E1_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	253	
D3K0E2	unreviewed	D3K0E2_ARATH	Auxin-responsive protein	IAA9 At5g65670	Arabidopsis thaliana (Mouse-ear cress)	300	
D3K0E3	unreviewed	D3K0E3_ARATH	Auxin-responsive protein	IAA9 At5g65670	Arabidopsis thaliana (Mouse-ear cress)	303	
D3K0E6	unreviewed	D3K0E6_ARATH	Auxin-responsive protein	IAA9 At5g65670	Arabidopsis thaliana (Mouse-ear cress)	300	
D3K0E7	unreviewed	D3K0E7_ARATH	Auxin-responsive protein	IAA10 At1g04100	Arabidopsis thaliana (Mouse-ear cress)	205	
D3K0E8	unreviewed	D3K0E8_ARATH	Auxin-responsive protein	IAA10 At1g04100	Arabidopsis thaliana (Mouse-ear cress)	205	
D3K0E9	unreviewed	D3K0E9_ARATH	Auxin-responsive protein	IAA10 At1g04100	Arabidopsis thaliana (Mouse-ear cress)	205	
D3K0F1	unreviewed	D3K0F1_ARATH	Auxin-responsive protein	IAA10 At1g04100	Arabidopsis thaliana (Mouse-ear cress)	209	
D3K0F2	unreviewed	D3K0F2_ARATH	Auxin-responsive protein	IAA11 At4g28640	Arabidopsis thaliana (Mouse-ear cress)	215	
D3K0F5	unreviewed	D3K0F5_ARATH	Auxin-responsive protein	IAA11 At4g28640	Arabidopsis thaliana (Mouse-ear cress)	206	
D3K0F7	unreviewed	D3K0F7_ARATH	Auxin-responsive protein	IAA12 At1g04550	Arabidopsis thaliana (Mouse-ear cress)	185	
D3K0F8	unreviewed	D3K0F8_ARATH	Auxin-responsive protein	IAA12 At1g04550	Arabidopsis thaliana (Mouse-ear cress)	195	
D3K0F9	unreviewed	D3K0F9_ARATH	Auxin-responsive protein	IAA12 At1g04550	Arabidopsis thaliana (Mouse-ear cress)	177	
D3K0G0	unreviewed	D3K0G0_ARATH	Auxin-responsive protein	IAA12 At1g04550	Arabidopsis thaliana (Mouse-ear cress)	193	
D3K0G2	unreviewed	D3K0G2_ARATH	Auxin-responsive protein	IAA13 At2g33310	Arabidopsis thaliana (Mouse-ear cress)	210	
D3K0G4	unreviewed	D3K0G4_ARATH	Auxin-responsive protein	IAA13 At2g33310	Arabidopsis thaliana (Mouse-ear cress)	209	
D3K0G7	unreviewed	D3K0G7_ARATH	Auxin-responsive protein	IAA14 At4g14550	Arabidopsis thaliana (Mouse-ear cress)	190	
D3K0G9	unreviewed	D3K0G9_ARATH	Auxin-responsive protein	IAA14 At4g14550	Arabidopsis thaliana (Mouse-ear cress)	191	
D3K0H0	unreviewed	D3K0H0_ARATH	Auxin-responsive protein	IAA14 At4g14550	Arabidopsis thaliana (Mouse-ear cress)	189	
D3K0H1	unreviewed	D3K0H1_ARATH	Auxin-responsive protein	IAA14 At4g14550	Arabidopsis thaliana (Mouse-ear cress)	190	
D3K0H2	unreviewed	D3K0H2_ARATH	Auxin-responsive protein	IAA16 At3g04730	Arabidopsis thaliana (Mouse-ear cress)	145	
D3K0H3	unreviewed	D3K0H3_ARATH	Auxin-responsive protein	IAA16 At3g04730	Arabidopsis thaliana (Mouse-ear cress)	152	
D3K0H4	unreviewed	D3K0H4_ARATH	Auxin-responsive protein	IAA16 At3g04730	Arabidopsis thaliana (Mouse-ear cress)	149	
D3K0H5	unreviewed	D3K0H5_ARATH	Auxin-responsive protein	IAA16 At3g04730	Arabidopsis thaliana (Mouse-ear cress)	146	
D3K0H6	unreviewed	D3K0H6_ARATH	Auxin-responsive protein	IAA16 At3g04730	Arabidopsis thaliana (Mouse-ear cress)	146	
D3K0H7	unreviewed	D3K0H7_ARATH	Auxin-responsive protein	IAA17 At1g04250	Arabidopsis thaliana (Mouse-ear cress)	150	
D3K0I2	unreviewed	D3K0I2_ARATH	Auxin-responsive protein	IAA18 At1g51950	Arabidopsis thaliana (Mouse-ear cress)	183	
D3K0I3	unreviewed	D3K0I3_ARATH	Auxin-responsive protein	IAA18 At1g51950	Arabidopsis thaliana (Mouse-ear cress)	212	
D3K0I4	unreviewed	D3K0I4_ARATH	Auxin-responsive protein	IAA18 At1g51950	Arabidopsis thaliana (Mouse-ear cress)	210	
D3K0I5	unreviewed	D3K0I5_ARATH	Auxin-responsive protein	IAA18 At1g51950	Arabidopsis thaliana (Mouse-ear cress)	216	
D3K0I6	unreviewed	D3K0I6_ARATH	Auxin-responsive protein	IAA18 At1g51950	Arabidopsis thaliana (Mouse-ear cress)	216	
D3K0I7	unreviewed	D3K0I7_ARATH	Auxin-responsive protein	IAA19 At3g15540	Arabidopsis thaliana (Mouse-ear cress)	187	
D3K0I8	unreviewed	D3K0I8_ARATH	Auxin-responsive protein	IAA19 At3g15540	Arabidopsis thaliana (Mouse-ear cress)	187	
D3K0I9	unreviewed	D3K0I9_ARATH	Auxin-responsive protein	IAA19 At3g15540	Arabidopsis thaliana (Mouse-ear cress)	175	
D3K0J0	unreviewed	D3K0J0_ARATH	Auxin-responsive protein	IAA19 At3g15540	Arabidopsis thaliana (Mouse-ear cress)	168	
D3K0J1	unreviewed	D3K0J1_ARATH	Auxin-responsive protein	IAA19 At3g15540	Arabidopsis thaliana (Mouse-ear cress)	187	
D3K0J2	unreviewed	D3K0J2_ARATH	Auxin-responsive protein	IAA20 At2g46990	Arabidopsis thaliana (Mouse-ear cress)	146	
D3K0J3	unreviewed	D3K0J3_ARATH	Auxin-responsive protein	IAA20 At2g46990	Arabidopsis thaliana (Mouse-ear cress)	173	
D3K0J4	unreviewed	D3K0J4_ARATH	Auxin-responsive protein	IAA20 At2g46990	Arabidopsis thaliana (Mouse-ear cress)	149	
D3K0J5	unreviewed	D3K0J5_ARATH	Auxin-responsive protein	IAA20 At2g46990	Arabidopsis thaliana (Mouse-ear cress)	158	
D3K0J6	unreviewed	D3K0J6_ARATH	Auxin-responsive protein	IAA20 At2g46990	Arabidopsis thaliana (Mouse-ear cress)	164	
D3K0J7	unreviewed	D3K0J7_ARATH	Auxin-responsive protein	IAA26 At3g16500	Arabidopsis thaliana (Mouse-ear cress)	212	
D3K0J8	unreviewed	D3K0J8_ARATH	Auxin-responsive protein	IAA26 At3g16500	Arabidopsis thaliana (Mouse-ear cress)	213	
D3K0J9	unreviewed	D3K0J9_ARATH	Auxin-responsive protein	IAA26 At3g16500	Arabidopsis thaliana (Mouse-ear cress)	222	
D3K0K1	unreviewed	D3K0K1_ARATH	Auxin-responsive protein	IAA26 At3g16500	Arabidopsis thaliana (Mouse-ear cress)	234	
D3K0K2	unreviewed	D3K0K2_ARATH	Auxin-responsive protein	IAA27 At4g29080	Arabidopsis thaliana (Mouse-ear cress)	271	
D3K0K3	unreviewed	D3K0K3_ARATH	Auxin-responsive protein	IAA27 At4g29080	Arabidopsis thaliana (Mouse-ear cress)	263	
D3K0K4	unreviewed	D3K0K4_ARATH	Auxin-responsive protein	IAA27 At4g29080	Arabidopsis thaliana (Mouse-ear cress)	248	
D3K0K5	unreviewed	D3K0K5_ARATH	Auxin-responsive protein	IAA27 At4g29080	Arabidopsis thaliana (Mouse-ear cress)	261	
D3K0K7	unreviewed	D3K0K7_ARATH	Auxin-responsive protein	IAA28 At5g25890	Arabidopsis thaliana (Mouse-ear cress)	168	
D3K0L2	unreviewed	D3K0L2_ARATH	Auxin-responsive protein	IAA29 At4g32280	Arabidopsis thaliana (Mouse-ear cress)	226	
D3K0L3	unreviewed	D3K0L3_ARATH	Auxin-responsive protein	IAA29 At4g32280	Arabidopsis thaliana (Mouse-ear cress)	218	
D3K0L5	unreviewed	D3K0L5_ARATH	Auxin-responsive protein	IAA29 At4g32280	Arabidopsis thaliana (Mouse-ear cress)	242	
D3K0L6	unreviewed	D3K0L6_ARATH	Auxin-responsive protein	IAA29 At4g32280	Arabidopsis thaliana (Mouse-ear cress)	216	
D3K0M2	unreviewed	D3K0M2_ARATH	Auxin-responsive protein	IAA31 At3g17600	Arabidopsis thaliana (Mouse-ear cress)	158	AT3G17600;
D3K0M3	unreviewed	D3K0M3_ARATH	Auxin-responsive protein	IAA31 At3g17600	Arabidopsis thaliana (Mouse-ear cress)	138	
D3K0M6	unreviewed	D3K0M6_ARATH	Auxin-responsive protein	IAA31 At3g17600	Arabidopsis thaliana (Mouse-ear cress)	155	
D3K0M7	unreviewed	D3K0M7_ARATH	Auxin-responsive protein	IAA33 At5g57420	Arabidopsis thaliana (Mouse-ear cress)	160	
D3K0M8	unreviewed	D3K0M8_ARATH	Auxin-responsive protein	IAA33 At5g57420	Arabidopsis thaliana (Mouse-ear cress)	169	
D3K0M9	unreviewed	D3K0M9_ARATH	Auxin-responsive protein	IAA33 At5g57420	Arabidopsis thaliana (Mouse-ear cress)	168	
D3K0N2	unreviewed	D3K0N2_ARATH	Auxin-responsive protein	IAA34 At1g15050	Arabidopsis thaliana (Mouse-ear cress)	179	
D3K0N3	unreviewed	D3K0N3_ARATH	Auxin-responsive protein	IAA34 At1g15050	Arabidopsis thaliana (Mouse-ear cress)	181	
D3K0N4	unreviewed	D3K0N4_ARATH	Auxin-responsive protein	IAA34 At1g15050	Arabidopsis thaliana (Mouse-ear cress)	185	
D3K0N5	unreviewed	D3K0N5_ARATH	Auxin-responsive protein	IAA34 At1g15050	Arabidopsis thaliana (Mouse-ear cress)	168	
E1A6S7	unreviewed	E1A6S7_ARATH	Auxin-responsive protein	ARF11 At2g46530	Arabidopsis thaliana (Mouse-ear cress)	185	
E1A6T0	unreviewed	E1A6T0_ARATH	Auxin-responsive protein	ARF11 At2g46530	Arabidopsis thaliana (Mouse-ear cress)	188	
E1A6T3	unreviewed	E1A6T3_ARATH	Auxin-responsive protein	ARF11 At2g46530	Arabidopsis thaliana (Mouse-ear cress)	188	
E1A6T5	unreviewed	E1A6T5_ARATH	Auxin-responsive protein	ARF11 At2g46530	Arabidopsis thaliana (Mouse-ear cress)	192	
E1A6T8	unreviewed	E1A6T8_ARATH	Auxin-responsive protein	ARF11 At2g46530	Arabidopsis thaliana (Mouse-ear cress)	187	
E1A6Y0	unreviewed	E1A6Y0_ARATH	Auxin-responsive protein	ARF18 At3g61830	Arabidopsis thaliana (Mouse-ear cress)	225	
E1A6Y1	unreviewed	E1A6Y1_ARATH	Auxin-responsive protein	ARF18 At3g61830	Arabidopsis thaliana (Mouse-ear cress)	226	
E1A6Y3	unreviewed	E1A6Y3_ARATH	Auxin-responsive protein	ARF18 At3g61830	Arabidopsis thaliana (Mouse-ear cress)	225	
E1A6Y6	unreviewed	E1A6Y6_ARATH	Auxin-responsive protein	ARF18 At3g61830	Arabidopsis thaliana (Mouse-ear cress)	224	
E1A6Z2	unreviewed	E1A6Z2_ARATH	Auxin-responsive protein	ARF18 At3g61830	Arabidopsis thaliana (Mouse-ear cress)	225	
E1A718	unreviewed	E1A718_ARATH	Auxin-responsive protein	IAA1 At4g14560	Arabidopsis thaliana (Mouse-ear cress)	168	
E1A719	unreviewed	E1A719_ARATH	Auxin-responsive protein	IAA2 At3g23030	Arabidopsis thaliana (Mouse-ear cress)	174	
E1A722	unreviewed	E1A722_ARATH	Auxin-responsive protein	IAA2 At3g23030	Arabidopsis thaliana (Mouse-ear cress)	174	
E1A727	unreviewed	E1A727_ARATH	Auxin-responsive protein	IAA2 At3g23030	Arabidopsis thaliana (Mouse-ear cress)	174	
E1A738	unreviewed	E1A738_ARATH	Auxin-responsive protein	IAA3 At1g04240	Arabidopsis thaliana (Mouse-ear cress)	182	
E1A743	unreviewed	E1A743_ARATH	Auxin-responsive protein	IAA3 At1g04240	Arabidopsis thaliana (Mouse-ear cress)	189	
E1A745	unreviewed	E1A745_ARATH	Auxin-responsive protein	IAA4 At5g43700	Arabidopsis thaliana (Mouse-ear cress)	186	
E1A749	unreviewed	E1A749_ARATH	Auxin-responsive protein	IAA4 At5g43700	Arabidopsis thaliana (Mouse-ear cress)	186	
E1A756	unreviewed	E1A756_ARATH	Auxin-responsive protein	IAA4 At5g43700	Arabidopsis thaliana (Mouse-ear cress)	186	
E1A758	unreviewed	E1A758_ARATH	Auxin-responsive protein	IAA5 At1g15580	Arabidopsis thaliana (Mouse-ear cress)	163	
E1A760	unreviewed	E1A760_ARATH	Auxin-responsive protein	IAA5 At1g15580	Arabidopsis thaliana (Mouse-ear cress)	163	
E1A771	unreviewed	E1A771_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	175	
E1A772	unreviewed	E1A772_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	177	
E1A773	unreviewed	E1A773_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	181	
E1A774	unreviewed	E1A774_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	146	
E1A775	unreviewed	E1A775_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	147	
E1A776	unreviewed	E1A776_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	182	
E1A778	unreviewed	E1A778_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	173	
E1A782	unreviewed	E1A782_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	183	
E1A783	unreviewed	E1A783_ARATH	Auxin-responsive protein	IAA6 At1g52830	Arabidopsis thaliana (Mouse-ear cress)	178	
E1A784	unreviewed	E1A784_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	95	
E1A785	unreviewed	E1A785_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	72	
E1A786	unreviewed	E1A786_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	85	
E1A788	unreviewed	E1A788_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	95	
E1A790	unreviewed	E1A790_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	94	
E1A794	unreviewed	E1A794_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	95	
E1A795	unreviewed	E1A795_ARATH	Auxin-responsive protein	IAA7 At3g23050	Arabidopsis thaliana (Mouse-ear cress)	84	
E1A797	unreviewed	E1A797_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	249	
E1A798	unreviewed	E1A798_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	226	
E1A799	unreviewed	E1A799_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	250	
E1A7A0	unreviewed	E1A7A0_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	252	
E1A7A1	unreviewed	E1A7A1_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	247	
E1A7A2	unreviewed	E1A7A2_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	251	
E1A7A3	unreviewed	E1A7A3_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	259	
E1A7A4	unreviewed	E1A7A4_ARATH	Auxin-responsive protein	IAA8 At2g22670	Arabidopsis thaliana (Mouse-ear cress)	225	
